0,0,0
-0.00113940599840134,-0.00966680143028498,-0.00466531096026301
0.00539060216397047,-0.00477732205763459,-0.00749106192961335
0.00705001596361399,-0.0074494481086731,0.00264117820188403
-0.00909369252622128,-0.00359597033821046,0.00788502581417561
-0.00416746689006686,-0.000375550938770175,-0.00702895736321807
0.0096733346581459,0.00355222937650979,0.00549130514264107
0,0,0
-0.00859449338167906,0.00349363381974399,0.00635163672268391
-0.00757549144327641,0.00640511186793447,-0.000379949226044118
0.00129957252647728,0.00562250195071101,-0.00991968624293804
-0.00208833254873753,0.0117303663864732,-0.00287879025563598
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.00832853931933641,-0.00113866128958762,0.00804013945162296
-0.00834840629249811,-0.000997673370875418,0.00801072921603918
-0.00838910229504108,-0.000668915046844631,0.00793343037366867
-0.00841565150767565,-0.000434083194704726,0.00787413865327835
-0.00844134017825127,-0.000183051888598129,0.00780627597123384
